WTI,DateTime,WCS,WCS_Interpolated,WTI_Interpolated,WTI_WCS_diff
52.94,2019-01-24,43.58621675211233,43.58621675211233,52.94,9.35378324788767
53.53,2019-01-25,43.90120808908024,43.90120808908024,53.53,9.628791910919759
51.79,2019-01-28,42.436894300245584,42.436894300245584,51.79,9.353105699754416
53.07,2019-01-29,44.33154677199842,44.33154677199842,53.07,8.738453228001582
54.18,2019-01-30,45.582483074933855,45.582483074933855,54.18,8.597516925066145
53.84,2019-01-31,44.333409039291396,44.333409039291396,53.84,9.506590960708607
55.29,2019-02-01,44.28989226999409,44.28989226999409,55.29,11.000107730005908
54.57,2019-02-04,44.2628656385555,44.2628656385555,54.57,10.307134361444497
53.69,2019-02-05,44.69339242712252,44.69339242712252,53.69,8.99660757287748
53.94,2019-02-06,44.756693231127656,44.756693231127656,53.94,9.183306768872342
52.68,2019-02-07,42.29020831153118,42.29020831153118,52.68,10.389791688468819
52.75,2019-02-08,41.66735513589664,41.66735513589664,52.75,11.082644864103358
52.43,2019-02-11,41.35314172725619,41.35314172725619,52.43,11.076858272743813
53.14,2019-02-12,42.63392637325077,42.63392637325077,53.14,10.506073626749227
53.84,2019-02-13,43.66201474288711,43.66201474288711,53.84,10.177985257112894
54.4,2019-02-14,43.8861089702848,43.8861089702848,54.4,10.513891029715197
55.58,2019-02-15,42.49457053834619,42.49457053834619,55.58,13.08542946165381
55.58,2019-02-18,,41.94593945952538,55.58,13.634060540474621
56.12,2019-02-19,41.39730838070457,41.39730838070457,56.12,14.722691619295425
56.9,2019-02-20,43.196523427960265,43.196523427960265,56.9,13.703476572039733
56.95,2019-02-21,44.21520887841395,44.21520887841395,56.95,12.734791121586056
57.01,2019-02-22,44.29965691973351,44.29965691973351,57.01,12.71034308026649
55.32,2019-02-25,41.95489053571211,41.95489053571211,55.32,13.36510946428789
55.4,2019-02-26,43.46093423382779,43.46093423382779,55.4,11.939065766172206
56.92,2019-02-27,45.316541480224345,45.316541480224345,56.92,11.603458519775657
57.21,2019-02-28,45.261495574994804,45.261495574994804,57.21,11.948504425005197
55.76,2019-03-01,43.879508066476376,43.879508066476376,55.76,11.880491933523622
56.6,2019-03-04,45.29382246040585,45.29382246040585,56.6,11.306177539594152
56.55,2019-03-05,45.61071315863121,45.61071315863121,56.55,10.93928684136879
56.22,2019-03-06,45.18027046187246,45.18027046187246,56.22,11.039729538127538
56.6,2019-03-07,45.49109408444447,45.49109408444447,56.6,11.108905915555532
55.77,2019-03-08,44.912322614101,44.912322614101,55.77,10.857677385899002
56.79,2019-03-11,45.9356668019019,45.9356668019019,56.79,10.854333198098097
56.89,2019-03-12,46.43041759041372,46.43041759041372,56.89,10.459582409586282
58.27,2019-03-13,48.28517126535116,48.28517126535116,58.27,9.984828734648843
58.59,2019-03-14,48.40412436521747,48.40412436521747,58.59,10.185875634782533
58.51,2019-03-15,48.40049478180676,48.40049478180676,58.51,10.109505218193235
59.09,2019-03-18,49.36160187221164,49.36160187221164,59.09,9.728398127788367
59.12,2019-03-19,48.69734599464329,48.69734599464329,59.12,10.422654005356705
60.12,2019-03-20,49.82766439096435,49.82766439096435,60.12,10.292335609035646
59.98,2019-03-21,49.964572738662916,49.964572738662916,59.98,10.01542726133708
58.87,2019-03-22,49.72273066345158,49.72273066345158,58.87,9.147269336548419
58.71,2019-03-25,49.815469268837006,49.815469268837006,58.71,8.894530731162995
59.87,2019-03-26,50.851591886509695,50.851591886509695,59.87,9.018408113490302
59.39,2019-03-27,50.03402194928518,50.03402194928518,59.39,9.355978050714818
59.29,2019-03-28,50.04435373100177,50.04435373100177,59.29,9.245646268998229
60.19,2019-03-29,50.85439552881485,50.85439552881485,60.19,9.33560447118515
61.59,2019-04-01,53.4043607348679,53.4043607348679,61.59,8.185639265132103
62.53,2019-04-02,54.595479089037475,54.595479089037475,62.53,7.934520910962526
62.46,2019-04-03,54.20535251051197,54.20535251051197,62.46,8.254647489488029
62.12,2019-04-04,53.79152286062366,53.79152286062366,62.12,8.32847713937634
63.1,2019-04-05,54.87890055943219,54.87890055943219,63.1,8.221099440567812
64.37,2019-04-08,56.242123415996126,56.242123415996126,64.37,8.127876584003879
64.05,2019-04-09,55.697549188569006,55.697549188569006,64.05,8.352450811430991
64.62,2019-04-10,55.624183915037754,55.624183915037754,64.62,8.99581608496225
63.61,2019-04-11,54.40782370249517,54.40782370249517,63.61,9.202176297504828
63.86,2019-04-12,54.53351943940973,54.53351943940973,63.86,9.32648056059027
63.43,2019-04-15,54.116138943127275,54.116138943127275,63.43,9.313861056872724
64.01,2019-04-16,54.899579023835464,54.899579023835464,64.01,9.11042097616454
63.74,2019-04-17,53.74493132267706,53.74493132267706,63.74,9.99506867732294
64.02,2019-04-18,53.842013981332876,53.842013981332876,64.02,10.17798601866712
65.66,2019-04-22,55.50749273727338,55.50749273727338,65.66,10.152507262726616
66.24,2019-04-23,55.07477318372577,55.07477318372577,66.24,11.165226816274227
65.96,2019-04-24,53.72861886696948,53.72861886696948,65.96,12.231381133030517
65.23,2019-04-25,52.58153527472379,52.58153527472379,65.23,12.648464725276213
63.29,2019-04-26,50.335600207722976,50.335600207722976,63.29,12.954399792277023
63.39,2019-04-29,51.15130603578323,51.15130603578323,63.39,12.238693964216772
63.83,2019-04-30,50.58750379406279,50.58750379406279,63.83,13.242496205937208
63.55,2019-05-01,51.078718690341645,51.078718690341645,63.55,12.471281309658352
61.75,2019-05-02,49.55299072946132,49.55299072946132,61.75,12.197009270538679
61.98,2019-05-03,49.282209359354965,49.282209359354965,61.98,12.697790640645032
62.3,2019-05-06,49.88892030918836,49.88892030918836,62.3,12.41107969081164
61.41,2019-05-07,47.66879532222808,47.66879532222808,61.41,13.741204677771918
62.13,2019-05-08,49.066492291901746,49.066492291901746,62.13,13.063507708098257
61.58,2019-05-09,48.365978992885836,48.365978992885836,61.58,13.214021007114162
61.65,2019-05-10,48.3452820040731,48.3452820040731,61.65,13.3047179959269
60.97,2019-05-13,47.536691130172436,47.536691130172436,60.97,13.433308869827563
61.82,2019-05-14,47.35699545490941,47.35699545490941,61.82,14.463004545090591
62.03,2019-05-15,48.50634758796862,48.50634758796862,62.03,13.523652412031382
62.93,2019-05-16,50.080672403895896,50.080672403895896,62.93,12.849327596104104
62.77,2019-05-17,49.85185022425063,49.85185022425063,62.77,12.91814977574937
63.12,2019-05-20,47.5917564921608,47.5917564921608,63.12,15.5282435078392
63.02,2019-05-21,47.3176355792568,47.3176355792568,63.02,15.702364420743201
61.42,2019-05-22,45.91381810672951,45.91381810672951,61.42,15.506181893270494
57.65,2019-05-23,41.2972236702471,41.2972236702471,57.65,16.3527763297529
58.4,2019-05-24,42.120841143732285,42.120841143732285,58.4,16.279158856267713
58.4,2019-05-27,,42.149697016463904,58.4,16.250302983536095
58.91,2019-05-28,42.17855288919553,42.17855288919553,58.91,16.731447110804467
58.84,2019-05-29,42.1005542338046,42.1005542338046,58.84,16.739445766195402
56.47,2019-05-30,39.451215921804156,39.451215921804156,56.47,17.018784078195843
53.49,2019-05-31,38.4436008275132,38.4436008275132,53.49,15.046399172486801
53.25,2019-06-03,39.04169440007231,39.04169440007231,53.25,14.20830559992769
53.5,2019-06-04,40.23821975670477,40.23821975670477,53.5,13.261780243295227
51.57,2019-06-05,38.160543301846936,38.160543301846936,51.57,13.409456698153065
52.59,2019-06-06,39.14477355402895,39.14477355402895,52.59,13.445226445971052
53.95,2019-06-07,40.02423983003838,40.02423983003838,53.95,13.92576016996162
53.33,2019-06-10,39.77857710352291,39.77857710352291,53.33,13.551422896477085
53.3,2019-06-11,40.21237880635298,40.21237880635298,53.3,13.087621193647017
51.13,2019-06-12,39.20051444419807,39.20051444419807,51.13,11.929485555801932
